INDEX,SCHEDNUM,SITUS_CITY,SITUS_STATE,APPRAISED_TOTAL_VALUE,D_CLASS_CN,SALE_YEAR,SALE_PRICE
1744,6.08412E+11,DENVER,CO,971700,SFR Grade B,2017,848963
1761,2.29202E+11,DENVER,CO,553100,SFR Grade C,2017,475000
1762,9.11201E+11,DENVER,CO,246400,RESIDENTIAL-CONDOMINIUM,2017,225000
1806,9.10416E+11,DENVER,CO,151100,RESIDENTIAL-CONDOMINIUM,2017,10
1856,5.21216E+11,DENVER,CO,355000,"SFR Grade C, D, or E, w/RK",2017,315000
1884,4.36102E+11,DENVER,CO,480500,SFR Grade C,2017,385000
1908,7.05105E+11,DENVER,CO,691800,SFR Grade B w/RK,2017,560000
1912,5.02422E+11,DENVER,CO,622900,RESIDENTIAL-ROWHOUSE,2017,10
1923,5.29206E+11,DENVER,CO,363400,"SFR Grade C, D, or E, w/RK",2017,320000
1963,15221011000,DENVER,CO,424900,SFR Grade C,2017,375866
1964,6.343E+11,DENVER,CO,210000,RESIDENTIAL-CONDOMINIUM,2017,1
1979,2.21344E+11,DENVER,CO,765800,RESIDENTIAL-ROWHOUSE,2017,725000
2004,5.18138E+11,DENVER,CO,1023500,COMMERCIAL-RETAIL,2017,925000
2027,2.33105E+11,DENVER,CO,1110900,RESIDENTIAL-CONDOMINIUM,2017,10
2034,5.13202E+11,DENVER,CO,589600,SFR Grade B,2017,10
2056,2.25302E+11,DENVER,CO,495500,SFR Grade C,2017,10
2059,7.08102E+11,DENVER,CO,646100,SFR Grade B,2017,620000
2165,9.13121E+11,DENVER,CO,529800,SFR Grade B,2017,477000
2189,2.2821E+11,DENVER,CO,329200,COMMERCIAL-CONDOMINIUM,2017,2477400
2219,1.13701E+11,DENVER,CO,360200,SFR Grade C,2017,310000
2233,5.15612E+11,DENVER,CO,607700,"SFR Grade C, D, or E, w/RK",2017,455000
2253,6.17104E+11,DENVER,CO,667600,SFR Grade B,2017,596500
2276,5.1912E+11,DENVER,CO,328300,SFR Grade C,2017,305000
2331,2.19425E+11,DENVER,CO,1078800,"SFR Grade C, D, or E, w/RK",2017,865000
2361,5.17114E+11,DENVER,CO,309100,SFR Grade C,2017,0
2367,19422020000,DENVER,CO,375600,SFR Grade C,2017,281000
2385,6.06307E+11,DENVER,CO,252000,RESIDENTIAL-CONDOMINIUM,2017,225000
2395,9.01204E+11,DENVER,CO,363400,SFR Grade C,2017,300000
2421,5.16111E+11,DENVER,CO,469800,SFR Grade C,2017,0
2437,5.01234E+11,DENVER,CO,198800,RESIDENTIAL-CONDOMINIUM,2017,176000
2450,1.2741E+11,DENVER,CO,652100,SFR Grade B,2017,605500
2462,6.1521E+11,DENVER,CO,183400,RESIDENTIAL-CONDOMINIUM,2017,186000
2518,5.02111E+11,DENVER,CO,426300,RESIDENTIAL-CONDOMINIUM,2017,10
2529,5.02333E+11,DENVER,CO,754300,SFR Grade C,2017,0
2531,2.26526E+11,DENVER,CO,953600,RESIDENTIAL-4 TO 8 UNITS,2017,499
2533,5.27509E+11,DENVER,CO,492200,"SFR Grade C, D, or E, w/RK",2017,410000
2536,2.20113E+11,DENVER,CO,576700,"SFR Grade C, D, or E, w/RK",2017,510500
2592,1.29321E+11,DENVER,CO,404500,SFR Grade C,2017,0
2623,6.34604E+11,DENVER,CO,346700,RESIDENTIAL-ROWHOUSE,2017,295000
2649,5.15126E+11,DENVER,CO,534600,SFR Grade C,2017,489900
2654,9.13213E+11,DENVER,CO,603900,SFR Grade B,2017,525000
2658,2.16315E+11,DENVER,CO,414800,"SFR Grade C, D, or E, w/RK",2017,364000
2715,2.34527E+11,DENVER,CO,567300,COMMERCIAL-CONDOMINIUM,2017,2260000
2737,1.10318E+11,DENVER,CO,734600,SFR Grade B,2017,612659
2741,17211022000,DENVER,CO,393300,SFR Grade C,2017,315000
2746,6.19319E+11,DENVER,CO,417200,"SFR Grade C, D, or E, w/RK",2017,10
2767,18106016000,DENVER,CO,345600,SFR Grade C,2017,10
2769,5.08331E+11,DENVER,CO,294200,SFR Grade C,2017,173000
2786,5.01629E+11,DENVER,CO,2064000,SFR Grade B w/RK,2017,10
2800,9.10416E+11,DENVER,CO,181100,RESIDENTIAL-CONDOMINIUM,2017,161250
2802,5.184E+11,DENVER,CO,100,VACANT LAND /GENERAL COMMON ELEMENTS,2017,7000
2811,2.30241E+11,DENVER,CO,783100,SFR Grade B,2017,646000
2846,1.28424E+11,DENVER,CO,611300,RESIDENTIAL-ROWHOUSE,2017,565000
2862,15215006000,DENVER,CO,348400,SFR Grade C,2017,287000
2875,6.07242E+11,DENVER,CO,2358700,SFR Grade A,2017,10
2910,2.26538E+11,DENVER,CO,934500,SFR Grade C,2017,10
2916,5.0212E+11,DENVER,CO,325000,RESIDENTIAL-CONDOMINIUM,2017,0
2937,2.32225E+11,DENVER,CO,868200,"SFR Grade C, D, or E, w/RK",2017,725000
2942,5.08623E+11,DENVER,CO,443400,"SFR Grade C, D, or E, w/RK",2017,350000
2978,2.29423E+11,DENVER,CO,673000,RESIDENTIAL-ROWHOUSE,2017,549000
2995,15209006000,DENVER,CO,413100,SFR Grade C,2017,371000
3000,5.26407E+11,DENVER,CO,560200,"SFR Grade C, D, or E, w/RK",2017,520000
3039,2.28212E+11,DENVER,CO,524000,SFR Grade C,2017,499000
3071,6.32427E+11,DENVER,CO,236900,RESIDENTIAL-CONDOMINIUM,2017,202000
3073,19419002000,DENVER,CO,349800,SFR Grade C,2017,10
3077,6.06225E+11,DENVER,CO,180800,RESIDENTIAL-CONDOMINIUM,2017,139000
3085,5.06115E+11,DENVER,CO,808400,RESIDENTIAL-4 TO 8 UNITS,2017,600000
3131,2.3541E+11,DENVER,CO,631300,RESIDENTIAL-CONDOMINIUM,2017,495000
3141,7.06104E+11,DENVER,CO,880300,SFR Grade B,2017,730000
3148,2.26223E+11,DENVER,CO,391700,"SFR Grade C, D, or E, w/RK",2017,246000
