GEO_ID,Households!!Estimate!!Total_x,"Households!!Estimate!!Less than $10,000_x","Households!!Estimate!!$10,000 to $14,999_x","Households!!Estimate!!$15,000 to $24,999_x","Households!!Estimate!!$25,000 to $34,999_x","Households!!Estimate!!$35,000 to $49,999_x","Households!!Estimate!!$50,000 to $74,999_x","Households!!Estimate!!$75,000 to $99,999_x","Households!!Estimate!!$100,000 to $149,999_x","Households!!Estimate!!$150,000 to $199,999_x","Households!!Estimate!!$200,000 or more_x",Households!!Estimate!!Median income (dollars)_x,Households!!Estimate!!Mean income (dollars)_x,Households!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months_x,Households!!Estimate!!Total_y,"Households!!Estimate!!Less than $10,000_y","Households!!Estimate!!$10,000 to $14,999_y","Households!!Estimate!!$15,000 to $24,999_y","Households!!Estimate!!$25,000 to $34,999_y","Households!!Estimate!!$35,000 to $49,999_y","Households!!Estimate!!$50,000 to $74,999_y","Households!!Estimate!!$75,000 to $99,999_y","Households!!Estimate!!$100,000 to $149,999_y","Households!!Estimate!!$150,000 to $199,999_y","Households!!Estimate!!$200,000 or more_y",Households!!Estimate!!Median income (dollars)_y,Households!!Estimate!!Mean income (dollars)_y,Households!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months_y
1400000US08031000600,1418,9.8,9.2,10.6,13.3,16.5,17.3,5.9,9,4.7,3.7,40819,69223,26.7,1253,10.3,8.9,8.9,14.9,13.7,21.8,5.3,8,5.3,2.8,45026,70043,25.9
1400000US08031000701,1743,20.3,10.3,24.1,3.3,15.6,11.1,7.3,6.3,0.4,1.4,22134,45459,39,1758,20,8.7,22.7,5.3,18.1,9.7,8.1,3.6,0.3,3.4,23750,49995,36.5
1400000US08031000702,1921,22.1,5,21.9,14.6,6.6,13.7,6.9,5,2.9,1.2,25554,42414,30.5,2015,22.9,3.6,19.4,14.4,12.2,13.4,7,3.8,3,0.4,27847,40868,29.8
1400000US08031000800,475,51.6,7.4,28.6,11.4,1.1,0,0,0,0,0,9849,13163,37.5,501,58.3,2.4,27.9,9.6,1.8,0,0,0,0,0,9363,12640,28.5
1400000US08031000902,1725,5.9,8.3,12.8,10,13.3,25.4,12.3,9.3,2.3,0.5,49878,56791,32.7,1674,5.6,7.9,13.3,12.4,13.7,22,12.5,9.6,2.4,0.5,48400,56700,28.9
1400000US08031000903,1960,13.2,6,15.8,12.4,16.2,18.2,13.4,3.9,0,0.8,39528,43761,37.9,1909,13.5,7.3,13.1,13.3,17.8,17.7,13,2.7,0.2,1.5,39173,43826,33.8
1400000US08031000904,1780,19.2,8.3,18.8,11.5,15.8,15.1,6,3.5,1.8,0,26279,37198,38.8,1797,17.6,6.3,20.1,10.2,14.7,16.5,9,3.3,2.1,0,27376,40023,33.9
1400000US08031000905,1156,8.1,8.8,6.6,22.1,11.3,25.7,8.4,8.9,0,0,40000,46951,38.1,1160,12.9,9.8,7.9,19.8,17.8,15.1,6.3,10.3,0,0,34732,43708,34.7
1400000US08031001000,1165,16.7,11.2,16.1,12.1,16.7,16.7,7.8,0.4,1.4,0.9,27176,37230,29.6,1165,15.9,11.8,18.1,9.8,20.6,12.3,8,3.1,0.4,0,26810,34807,24.3
1400000US08031001101,941,13.9,5.1,12,7.8,18.2,18.4,10.1,11.1,3,0.5,43750,53708,42.4,969,16.6,5,12.2,7.3,19.5,13.9,11.6,9.2,3.6,1.1,37430,52657,37.9
1400000US08031001102,1625,9.9,2.4,5.7,2.7,14,18.4,18.1,11,11.1,6.6,71146,94082,25.2,1529,11.4,2.3,6.6,1.4,14,22.7,16.7,8.4,7.9,8.6,65417,88179,26.1
1400000US08031001301,1545,6.7,4.9,14.2,11.7,14,23.5,10.1,9.8,4.5,0.6,47824,56965,35.1,1526,7.2,4.3,17.4,12.8,11.6,24,8.5,10,3.7,0.5,43173,54412,36.3
1400000US08031001302,1392,8.3,4.6,10.2,12.9,15.4,31.3,9,6.3,2.2,0,47333,50426,29,1362,9.7,8.7,9,14.8,15.7,22.2,13.9,3.4,2.6,0,40739,48371,23.2
1400000US08031001401,1977,15.8,6.1,15.7,9.6,12.8,18.4,7.2,12.3,1.3,0.9,38175,49473,29.9,1977,14.1,8.9,18.1,14.6,9.3,17.9,6.1,9.4,1.2,0.6,32511,44906,26.9
1400000US08031001402,1410,13.1,2.8,20.6,12.8,12.7,25.5,9.4,1,1.5,0.6,36667,42255,34.8,1400,17.4,3.1,20.9,12.9,11.9,22.1,8.8,0,1.5,1.6,31449,48760,31.6
1400000US08031001403,1613,9.2,4,5.3,16.1,12.5,21.3,17.7,8.1,3.7,2.3,51054,61298,20.2,1529,9.7,4.4,5.2,14.5,13.4,21,18.2,7.3,3.9,2.4,51063,60666,19.9
1400000US08031001500,1071,19.4,10.1,14,11.7,12,16.2,9.3,6.6,0.7,0,29639,40210,40.6,1042,16.6,9.8,21,11.7,9.3,15.5,6.7,7.6,1.7,0,26731,40428,34.8
1400000US08031001600,4465,4.7,3.2,7.1,7.8,13.4,17.7,15.5,18.9,6.5,5.3,68839,87212,24.9,4064,8.4,5.4,6.3,7.6,12.5,19.8,12.2,14.9,8.3,4.7,61333,78297,23
1400000US08031001701,3439,13.9,8.8,3.3,2.2,2.9,15.1,13.4,14.1,7.5,18.8,81961,121554,16.5,3190,12.4,8.2,4.1,1.5,4.9,14,14.5,13.9,9.6,16.9,83654,118715,19.5
1400000US08031001702,2495,15.7,4.4,11.6,1.3,7.4,18.5,11.1,10.8,9.1,10.2,58242,95366,18.1,2298,15.1,8.3,13.7,2.4,5.4,17.3,11.6,10.2,6.1,9.9,53707,93870,19.2
1400000US08031001800,1673,14,7.3,11.1,8.9,14.4,14.3,12.4,14.6,1.9,1,45428,56112,25.5,1627,17,8.3,13.3,7.8,13.3,12.3,12.7,13.2,1.4,0.7,38527,51546,28
1400000US08031001901,974,39.9,5.4,7.6,11.2,14.1,8.3,6,5.9,1.6,0,18281,33301,42.4,930,43.8,4.2,8.1,10.8,18.3,5.8,2.6,5.3,1.3,0,16011,28842,47.6
1400000US08031001902,59,6.8,0,0,0,18.6,5.1,39,16.9,0,13.6,82788,95431,42.4,49,8.2,0,0,0,12.2,6.1,44.9,12.2,0,16.3,82813,98798,32.7
1400000US08031002000,1251,12,9.1,5.6,7.7,3.9,14.7,12.9,15,4,15.1,69638,117931,26.9,1325,8.9,7.2,8.8,7.2,6.1,17.6,11.2,13.4,5.1,14.7,68459,121184,25.5
1400000US08031002100,2624,9.9,14.1,8.4,5.4,12.9,13.1,9.6,19.5,2.7,4.4,49318,72913,25.4,2571,13.2,13.7,9.1,6.5,15.6,12.4,5.6,18,1.6,4.2,41595,64393,25.7
1400000US08031002300,2162,4.9,6,9.6,9.9,15.4,15.6,11.7,18.1,6.2,2.4,58861,72121,33.3,2142,6.9,5.2,8.7,10.8,12.3,15.8,14.4,18.4,4.2,3.3,59182,73009,28.4
1400000US08031002402,890,20,7.4,6.6,4.9,9.8,10.4,13.8,11.7,7.3,8,55294,81780,27.1,822,20.1,5.1,8.4,4.6,7.5,14.1,14.1,14.1,4.6,7.3,60250,78972,24.9
1400000US08031002403,1989,17.8,10.4,10.9,8.1,6.5,12.5,14.9,10.7,1.8,6.3,43750,66814,27.4,1991,17.7,12.4,9.1,11.5,6.7,11.1,12.2,9.7,2.8,6.8,34583,62763,30.2
1400000US08031002601,2163,23.9,6.9,9.5,5.4,7.6,14.8,14.6,10.9,3.7,2.7,41826,57811,15.3,2195,22.9,7.5,9.1,7.8,5.2,14.7,17.7,9.4,3,2.6,41845,57438,11.1
1400000US08031002602,1780,12,0.6,8.9,4.9,13.6,15.5,11.3,19.9,9.3,3.9,63672,77228,18.5,1686,13.9,3,9.6,5.4,16.3,14.1,13,17.6,3.1,4.2,55181,68411,12.2
1400000US08031002701,3521,13.7,5.5,9.2,19.7,21.4,14.9,4.9,7.2,2.9,0.7,36602,46156,17.9,3442,12.8,7,11.9,17.9,18.9,16,5,6.4,3,1,35309,46337,16.2
1400000US08031002702,3781,7.4,4.4,10.9,10.5,14.8,19.6,14.7,9,4.8,3.9,51552,71254,16.3,3758,10,5.7,10.4,11.1,15.5,16.9,14.2,8.3,3.5,4.6,47274,70039,16.8
1400000US08031002703,3415,14.2,5.2,12.9,11.9,13.2,22.6,13.7,4,1,1.4,40294,51119,19.2,3358,15.1,6.2,13.8,12.8,14.9,18.1,10.8,6,2.1,0,37620,45323,20.3
1400000US08031002801,1594,6.3,4.6,6.4,7.8,12.2,22,9.3,13.7,7.7,9.8,64409,104805,19.4,1595,5.9,5.1,5.5,10.8,11.9,18.2,13,13,8,8.7,64555,97602,17.2
1400000US08031002802,2765,9,7.6,8.9,14.3,17,13.7,7.7,12.1,6.1,3.6,45840,64017,25.5,2805,9.1,5.8,10.3,15.5,15.6,14.7,5.2,16.4,5.3,2,46623,62225,25.3
1400000US08031002803,3068,4.9,3.9,7.2,13.8,15.9,23.4,8.3,14.9,2,5.8,52500,69272,21,3079,3.5,5.2,8.8,12.3,17.8,26.8,8.1,11.8,0.7,4.8,51297,64065,17.3
1400000US08031002901,1543,8.4,1.3,8.2,3.3,22.9,12.7,12.8,14.8,6.9,8.6,65234,91578,23.3,1487,9.4,5.4,9.3,2.8,19.6,15.1,13.6,12.6,4.8,7.4,56208,83437,19.7
1400000US08031002902,1975,1.7,2.4,2.2,4.5,6.8,13.6,17.1,21,14.1,16.7,101835,130142,25.5,1974,1.2,2.8,2,5.3,6.9,14.6,17.3,18.7,15.5,15.6,99643,125703,23.7
1400000US08031003001,2777,3.8,2.6,6.3,5.8,6.4,13.3,12.8,20.8,14.9,13.2,98561,112456,22,2716,4.2,3,9.1,7.5,6.9,15.3,12.9,17,11.7,12.4,80081,103610,21.3
1400000US08031003002,1245,7.7,2.7,8.2,11.5,9.4,15.2,21.8,12.7,5.6,5.1,64725,79117,26.4,1266,9.2,3.5,8,11.4,8.5,13.3,22.3,14.9,5.6,3.4,65000,76436,23.4
1400000US08031003003,1081,17.5,10.1,6.3,10.5,8.3,13.5,8.4,16.7,6,2.6,45179,61674,23.9,1073,20.2,9,7.1,9.8,14,9.7,6.6,14.9,5.2,3.4,37470,58207,22
1400000US08031003004,2528,16.3,8.1,6,10.4,10.9,14.8,8.3,13.2,8.1,3.9,48636,68584,25.5,2533,13.8,9,5.4,9.1,14.2,19.1,7.1,13.3,5.6,3.4,48250,64630,28.3
1400000US08031003101,742,5.9,7.4,11.7,7.4,10.1,19.3,15.2,6.5,10.9,5.5,55139,76378,28.2,732,8.2,7.5,4.8,8.7,8.2,29.1,11.7,5.9,11.1,4.8,60114,75289,26.6
1400000US08031003102,1794,29.7,10.2,5.4,7.4,6.7,15.7,6.5,11.9,3.5,3,29900,51941,21.8,1738,27.8,10.1,8.6,13.1,6.6,15,3.4,9.9,3.5,2,27572,46013,24.5
1400000US08031003201,3254,4.9,5.3,7.1,8.6,16.8,21.3,17,9.5,5.7,3.7,58529,69562,18.9,3225,5.6,5,10,8.9,19.1,21.3,13.2,8.8,4.4,3.7,51686,65693,17.6
1400000US08031003202,1972,7.3,6.6,10.8,10,12.5,22.8,11.1,9.9,3.4,5.6,51818,67426,25.4,1896,10.5,7.9,12.6,8.4,11.8,18.6,13.6,9.9,2.2,4.6,48553,63330,23.7
1400000US08031003203,1362,0,1.7,4.3,4.3,4.8,9.8,9.5,16.9,7.9,40.7,134167,216630,27.1,1342,0.7,1.7,2.2,4.3,6.4,11,9.5,16.9,7.8,39.3,129706,217437,23.8
1400000US08031003300,1534,0.8,1.8,5.8,5,6.1,12,9.5,28.3,15.1,15.8,116698,134640,23.9,1483,2.1,1.8,6,5.3,5.9,11.8,12.1,26.2,11,17.7,109730,134938,22.9
1400000US08031003401,1231,3,1.5,5.3,7.2,9.4,21.5,10.6,12.1,13.1,16.3,81435,127833,21.9,1221,3.4,1.3,4.3,8.8,9.3,21.5,10.6,10.2,11.1,19.5,80313,133017,15
1400000US08031003402,2043,4.4,2.1,3.5,3.1,4.8,8.5,11.9,19.9,12.2,29.6,125382,169689,27.8,2034,5.6,2.2,3.7,2.8,5.6,11.6,12.6,20.5,9.5,26,108627,159904,24.5
1400000US08031003500,1736,6.5,6.6,15.7,15.9,20.2,17.3,10.9,5.4,0.6,1,39433,46844,53.6,1763,8.3,9.6,17.4,15.8,18.3,14.5,8.5,6.6,0.5,0.5,33972,43029,52
1400000US08031003601,1678,9.5,5.4,12.8,19.5,11.6,17.7,12.2,4.9,2.3,4,38286,61195,36.4,1676,12.1,5,12.6,18.3,13.2,21.1,11.2,2.4,2.9,1.3,38012,49052,39
1400000US08031003602,1518,12.1,5.4,9.1,19.1,12.3,17.9,11.9,7.4,1.2,3.8,39130,67240,35.4,1488,12.8,4.6,8.7,19.7,10.4,16.8,11.7,10.6,2.5,2.2,40417,54313,39.4
1400000US08031003603,1412,7.4,7.5,9.5,9.6,9,12.1,13.5,19.6,5.7,6.2,63793,77782,32.9,1355,5.4,8.1,12.4,11.4,6.1,12.5,13.5,19.5,6.7,4.4,61375,77703,25.5
1400000US08031003701,1672,7.5,10.5,9.9,8.5,8.9,14.4,11.4,17.5,6.4,5,58487,76032,29.1,1542,7.1,9.1,8.6,6.6,10.6,18.6,10,18,6.6,4.8,60500,75256,21
1400000US08031003702,2794,10.4,8.8,6.4,14.7,20.2,13.5,7.7,11.8,3.6,2.9,41455,60779,20.2,2740,11.7,8.1,7.7,19.1,14.5,10,6.8,14.9,4.2,3,39901,62919,15.9
1400000US08031003703,1583,5.6,6,9,7.2,15.9,15.4,11.5,10.7,7.6,11.2,57792,97662,25,1546,4.7,6.6,12.2,8.4,13.7,17.1,9.3,11.2,7.1,9.8,57439,88133,23.7
1400000US08031003800,4032,9.6,3.9,6.9,3.6,10.1,10.8,6.7,12.9,13.4,22,89926,153453,27.3,3942,9,3.5,8.8,2.8,9.7,11.4,6.5,12.2,12.6,23.6,89840,149754,27.7
1400000US08031003901,2264,2.4,0.8,4.7,0,4.3,10.4,12.4,20.7,11,33.3,131333,185199,33.3,2277,1.9,0.7,0.6,0,4.7,13.1,13,23.5,10.1,32.3,126083,181975,30.9
1400000US08031003902,1855,2.2,1,3.9,2,12.8,9.4,23.8,18.1,7.2,19.5,94583,146382,32.6,1827,2.5,1.1,5.9,2.8,12.5,10.2,23,16.5,6.3,19.1,93482,143058,29.5
1400000US08031004002,1385,3.2,0.6,6.9,5.6,9,15.1,9.6,15.7,14.7,19.4,99716,136899,27.2,1386,5.8,0,5.1,6,9.1,13.6,9.2,16.8,17,17.5,102981,129944,31.7
1400000US08031004003,1959,2.6,2.7,8.2,6.6,14.3,17.5,15,18.4,6.3,8.5,72228,99655,22.4,1893,0.9,2.3,9.8,4.9,13.8,20.3,14.6,18.4,6,8.8,70987,97695,24.5
1400000US08031004004,859,2.4,1.3,4.1,9.2,12,20.4,13.4,12,11.4,13.9,76058,112653,20.3,828,1.2,1.6,5.4,7.4,12,20.8,17.8,10.7,13,10.1,78900,102228,16.2
1400000US08031004005,1573,16.7,6,9.7,13.5,14.4,17.1,9.9,4.5,2.5,5.7,36613,58965,21.9,1601,15.6,5.4,11.1,12.9,12.9,15.6,15.1,5.4,2.2,3.8,37096,56556,22.5
1400000US08031004006,2026,7.5,5.9,10.3,5.9,12.6,12.8,5.8,10,7.6,21.8,66923,139006,22.2,2049,8.1,6.4,12.6,6.1,10.4,14.9,7.1,7.3,6.3,20.7,59275,125229,24
1400000US08031004101,1639,14,11.2,13.1,13.5,15.7,16.4,5.9,7.4,1.6,1.1,33288,43735,39,1598,13.3,15.3,12.4,10.5,18.1,15,2.7,8.6,2.8,1.3,33802,45081,32.9
1400000US08031004102,1469,9.1,10.8,13.4,15,12.6,16.9,10.3,8.9,2,1,36225,51453,45,1353,8.9,8.8,13.7,10.7,13.3,21.8,10.1,9.6,1.6,1.5,42901,53638,42.5
1400000US08031004103,2234,4.4,3.6,5.5,7,10.7,13.3,12.7,19.1,11.3,12.4,89630,105359,31.4,2139,4.8,3.6,9.2,7.1,10.2,10.4,15.8,13.9,9.4,15.5,86125,109025,34.5
1400000US08031004104,1886,7.4,2.3,8.9,6.8,10.3,18.9,16,21.8,3.6,4,67203,78066,36.9,1862,11,2.5,8.9,7.5,11.3,19.5,14.4,18.4,3.8,2.6,60710,71074,30
1400000US08031004106,3303,1.9,0.8,1.1,0.3,6.3,7.1,10.3,28.2,18.8,25.3,137012,152347,22.3,2992,0.7,0.8,1.5,0,7.2,8.3,9.5,28.2,18.2,25.6,135967,154668,22
1400000US08031004107,2476,4.7,2.1,9.6,3,4.1,14.6,12.7,24.8,9.9,14.5,97500,117206,22.1,2204,4.5,2.5,10.5,3.4,5.4,12.9,11.9,24.3,11.5,13.1,96902,110843,18.6
1400000US08031004201,1987,4.4,4.3,2.8,4.3,9.5,16.1,10.7,18.7,6.8,22.4,97839,126702,20.1,1975,6.2,3.4,5.5,3.2,8.3,17.5,12.7,15,6.8,21.4,90023,147497,18
1400000US08031004202,1684,0.7,3,3.3,4.3,8.2,12.4,13.5,21.6,17.8,15.2,113906,136314,23.2,1617,0.8,3.1,3.6,4.3,7.8,10.7,12.2,20.7,17.1,19.6,120144,149624,19.6
1400000US08031004301,2834,11.7,5.5,8.4,13.1,21.2,12.2,9.5,8.8,2.3,7.3,43952,65793,18.3,2797,12.5,5,7.8,11.3,23.1,12.3,8.5,9,1.5,8.9,45274,69319,17.3
1400000US08031004302,1189,5,3.4,1.9,3.7,9,19.3,20.2,21.3,8.2,8,83615,98513,22.6,1217,4.8,6,1.6,5,8.1,17.7,20.1,24.4,4.4,7.8,83902,98207,20.5
1400000US08031004303,1596,3,1.1,1.6,2.3,5.5,6.8,7.5,19,8.8,44.3,163929,301460,23.5,1582,2.3,0.4,0.9,2.5,6.2,8,10.3,18.8,9.2,41.4,153750,297533,23.4
1400000US08031004304,2771,3.5,4.5,6.7,7.5,9.1,12.4,14.9,21,7,13.3,77868,112590,22.1,2809,5.2,4.4,6.9,7,8.3,12,14.3,21.7,7.9,12.3,78359,101726,23.8
1400000US08031004306,2260,2.8,3.3,5,8.9,8.3,14.9,9.6,17.8,5.9,23.5,95400,144932,18.9,2285,3.9,2.6,6.4,7.7,9.7,18.2,10.6,15,5.2,20.7,85391,127439,21
1400000US08031004403,1722,7.3,2.1,13.4,10.6,18.7,23.3,12.9,7.3,2.1,2.3,47500,59413,29.8,1646,7.7,4.9,14.8,9.2,15.9,22.5,10.4,10.6,2.4,1.7,47089,57819,26.9
1400000US08031004404,2474,16,8.6,15.8,8.2,16.5,12.6,10.7,9.5,1.6,0.5,36125,46597,29.7,2427,16.7,6.6,15.1,9.3,17.1,14.5,10.8,6.6,3,0.5,37679,46689,22.2
1400000US08031004405,3823,3.8,3.3,8.7,6.1,11,15.9,11.7,12.7,13.1,13.8,76650,114214,22.6,3854,6.7,3,9.9,5.4,9.4,14.5,12.5,11.1,13.9,13.6,76029,110451,21.4
1400000US08031004503,1234,10.7,8,19.1,12.2,19.2,10.2,12.6,5.5,1.1,1.3,34861,47266,28,1254,10.8,5.5,24.4,16,15.9,10,12.3,3.9,0.3,0.9,29384,42982,28
1400000US08031004504,1110,7.5,10.6,9.8,13.4,26.1,15.2,9.5,5.2,2,0.5,38222,49610,32.6,1084,8.1,16.9,13.1,15.4,22,14.4,4.2,3,1.9,0.9,33855,41529,26.9
1400000US08031004505,1233,12.6,9,27.5,11.1,19.1,15.1,1.9,2.8,0,0.9,26597,34470,30,1255,14.7,9.2,23.9,11.2,29.7,10,0.7,0,0,0.5,27629,30394,21.1
1400000US08031004506,1000,15.1,9.2,21.9,11.7,14.3,16.7,4.1,6.4,0,0.6,26979,40170,32.1,975,14.3,11.4,21.8,7.5,13.5,20.1,3.5,7.4,0,0.5,26856,41176,32.3
1400000US08031004601,1872,4.8,5.6,12.8,9.3,22.4,22.1,11.2,8,3.3,0.5,46392,55669,27.2,1868,3.9,4.9,9.9,12.2,26.1,19.9,10.5,8.8,3.2,0.5,44805,55702,29.8
1400000US08031004602,2236,7.7,7.4,10.8,13,17.5,21.6,12.4,8.7,0.8,0,45644,50551,31.8,2229,6.6,6,13.3,14.6,21.3,15.8,15.7,6,0.8,0,41260,49437,32.4
1400000US08031004603,2016,7.4,6,9.5,13.7,18.5,25.5,12.4,7,0,0.1,44032,49633,29.5,1991,9.3,6.9,10,10.1,17.5,24,13.7,8,0.5,0,44445,50378,26
1400000US08031004700,2157,5,5,11.3,12.5,17.8,21.2,18.5,5.1,3.1,0.6,48912,56672,33.1,2168,5.8,3.9,9.7,14.4,17.1,22.4,18.3,5,2.4,1,49275,57011,31.5
1400000US08031004801,1058,5.1,2,11.3,6.7,11,19.2,11.6,29.1,1.6,2.4,66875,75097,28.6,1060,6.7,3.2,13.4,3.3,12.5,22.6,12.5,23.1,1.5,1.1,60975,67796,20.7
1400000US08031005001,1132,3,2.5,5.8,13.5,20,18.1,15.5,12.7,7.9,1,56761,71188,19.6,1101,5.3,4.6,8.1,11.7,17.3,16.3,16.4,13.6,4.8,1.7,56182,68531,15.7
1400000US08031005002,3338,14.3,6.8,13.3,13.3,19.1,8.7,8.5,10.9,1.9,3.2,36096,55043,30.1,3363,14.2,6.2,10.1,16.6,16.8,12.4,6,10,1.8,5.8,36567,61565,30.2
1400000US08031005102,1485,1.8,4.4,7.1,8,20.9,17.2,17.5,18.2,3.6,1.2,62102,71241,23.1,1513,1.2,1.3,11,9.8,19.4,15.3,16.5,17.8,6.3,1.4,61713,73581,19.2
1400000US08031005104,1570,11.7,5.1,14.2,15.5,17.9,14.1,7,7.1,1.9,5.4,38718,65581,24.8,1481,10.7,6.5,16.6,12.6,17.6,12.8,7.4,7.8,2.3,5.9,39366,67834,25.4
1400000US08031005200,1386,3.4,1.3,7.5,7.9,12.1,11.5,17.5,19.1,14.9,4.8,82976,91944,26.6,1353,5.8,0.6,7.3,8.1,10.3,13,18.1,18.6,14.3,4,81645,89259,25.5
1400000US08031005300,676,5.9,4.9,17.8,19.5,12.7,11.7,9.5,9.8,5.9,2.4,36161,59807,22.3,646,5.6,5.7,20.6,13.9,9.3,15.6,9.8,10.4,4.8,4.3,40588,64971,20.6
1400000US08031005502,564,3.2,2,5.7,5,17.4,19.1,16,25,4.1,2.7,73587,82289,19,554,4,1.3,3.6,6.3,20.6,21.1,25.5,13.5,2.7,1.4,70676,73981,19.3
1400000US08031005503,1765,9.9,1.9,6.4,10.2,11.4,20.2,14.1,17.6,5,3.2,62006,71989,22.4,1792,9.3,2,8.1,8.4,12.2,19.8,14.3,16.5,6.2,3.2,61534,72561,23.3
1400000US08031006701,1868,4.6,2.2,5.5,8.5,16.4,23.6,18.4,15.7,2.4,2.8,61776,70661,17.9,1728,4.8,1.6,4.5,10.6,16.7,21.6,15.5,17.2,2.8,4.5,60429,74667,23.1
1400000US08031006804,1276,2.8,2,4.7,3.1,12.9,18.7,15.1,24.3,7.8,8.5,83274,97039,32.8,1255,2.2,3.5,5.5,1,13.7,18.6,14.8,21.2,7.4,12,84358,118830,28.4
1400000US08031006809,3542,6,3.5,5.7,12,16.7,15.8,10.7,7.3,11.9,10.4,53286,94851,25.7,3530,6.1,2.7,7,12.9,15.6,17.2,11.1,5.5,13.7,8.3,52896,92170,22.2
1400000US08031006810,2563,2.1,0.5,9.1,13.3,17.8,12.9,19.4,15.8,5.9,3.2,65504,74344,22.5,2554,2.9,1.1,10.4,13.2,14.4,15.9,17.3,13.7,7,4.1,62885,76443,21.5
1400000US08031006811,3115,3.7,4.5,6.7,13.5,13.7,23.4,11.5,12.6,5.4,5.1,60069,74519,28.1,3135,3.1,7.6,8.7,12.4,12.6,22.3,9.2,13.1,6.6,4.5,56150,73070,28.7
1400000US08031006812,1893,2.9,5.1,13.9,10,15.2,14.1,13.2,13.5,6.6,5.4,54526,79324,24.2,1728,3.3,5.8,17.3,12.1,16.8,12.4,13.6,7.5,6.4,4.7,42226,71335,19.7
1400000US08031006813,2349,7.7,5.5,15.8,12.3,22.9,17.7,7.3,8.9,0.7,1.1,40445,49487,28.5,2370,8.5,7.4,20.4,11.9,19.2,15.9,6.3,8.5,0.6,1.2,36075,46700,23.7
